Nr,Code,Municipality,Seat,County,"Population
 (30 September 2013)","Total
area (km2)","Land
area
 (km2)","Inland
water
area (km2)","Sea
water
area (km2)","Density (people
/km2)"
38,1445,Essunga Municipality,Nossebro,Västra Götaland County,"<span data-sort-value=""7003552900000000000♠"">5,529","<span data-sort-value=""7002235710000000000♠"">235.71","<span data-sort-value=""7002234610000000000♠"">234.61","<span data-sort-value=""7000110000000000000♠"">1.10","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001235700000000000♠"">23.57"
39,1982,Fagersta Municipality,Fagersta,Västmanland County,"<span data-sort-value=""7004128310000000000♠"">12,831","<span data-sort-value=""7002310410000000000♠"">310.41","<span data-sort-value=""7002269040000000000♠"">269.04","<span data-sort-value=""7001413700000000000♠"">41.37","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001476900000000000♠"">47.69"
40,1382,Falkenberg Municipality,Falkenberg,Halland County,"<span data-sort-value=""7004416460000000000♠"">41,646","<span data-sort-value=""7003182572000000000♠"">1,825.72","<span data-sort-value=""7003110889000000000♠"">1,108.89","<span data-sort-value=""7001472700000000000♠"">47.27","<span data-sort-value=""7002669560000000000♠"">669.56","<span data-sort-value=""7001375600000000000♠"">37.56"
41,1499,Falköping Municipality,Falköping,Västra Götaland County,"<span data-sort-value=""7004319230000000000♠"">31,923","<span data-sort-value=""7003106578000000000♠"">1,065.78","<span data-sort-value=""7003104498000000000♠"">1,044.98","<span data-sort-value=""7001208000000000000♠"">20.80","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001305500000000000♠"">30.55"
42,2080,Falun Municipality,Falun,Dalarna County,"<span data-sort-value=""7004567630000000000♠"">56,763","<span data-sort-value=""7003227517000000000♠"">2,275.17","<span data-sort-value=""7003204013000000000♠"">2,040.13","<span data-sort-value=""7002235040000000000♠"">235.04","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001278200000000000♠"">27.82"
43,1782,Filipstad Municipality,Filipstad,Värmland County,"<span data-sort-value=""7004105240000000000♠"">10,524","<span data-sort-value=""7003171171000000000♠"">1,711.71","<span data-sort-value=""7003153403000000000♠"">1,534.03","<span data-sort-value=""7002177680000000000♠"">177.68","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000686000000000000♠"">6.86"
44,0562,Finspång Municipality,Finspång,Östergötland County,"<span data-sort-value=""7004208900000000000♠"">20,890","<span data-sort-value=""7003121505000000000♠"">1,215.05","<span data-sort-value=""7003105528000000000♠"">1,055.28","<span data-sort-value=""7002159770000000000♠"">159.77","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001198000000000000♠"">19.80"
45,0482,Flen Municipality,Flen,Södermanland County,"<span data-sort-value=""7004160680000000000♠"">16,068","<span data-sort-value=""7002826040000000000♠"">826.04","<span data-sort-value=""7002718830000000000♠"">718.83","<span data-sort-value=""7002107210000000000♠"">107.21","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001223500000000000♠"">22.35"
46,1763,Forshaga Municipality,Forshaga,Värmland County,"<span data-sort-value=""7004112670000000000♠"">11,267","<span data-sort-value=""7002397290000000000♠"">397.29","<span data-sort-value=""7002348180000000000♠"">348.18","<span data-sort-value=""7001491100000000000♠"">49.11","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001323600000000000♠"">32.36"
47,1439,Färgelanda Municipality,Färgelanda,Västra Götaland County,"<span data-sort-value=""7003654500000000000♠"">6,545","<span data-sort-value=""7002618330000000000♠"">618.33","<span data-sort-value=""7002588980000000000♠"">588.98","<span data-sort-value=""7001293500000000000♠"">29.35","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001111100000000000♠"">11.11"
