Nr,Code,Municipality,Seat,County,"Population
 (30 September 2013)","Total
area (km2)","Land
area
 (km2)","Inland
water
area (km2)","Sea
water
area (km2)","Density (people
/km2)"
152,1884,Nora Municipality,Nora,Örebro County,"<span data-sort-value=""7004103910000000000♠"">10,391","<span data-sort-value=""7002690820000000000♠"">690.82","<span data-sort-value=""7002618490000000000♠"">618.49","<span data-sort-value=""7001723300000000000♠"">72.33","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001168000000000000♠"">16.80"
153,1962,Norberg Municipality,Norberg,Västmanland County,"<span data-sort-value=""7003558900000000000♠"">5,589","<span data-sort-value=""7002447670000000000♠"">447.67","<span data-sort-value=""7002417800000000000♠"">417.80","<span data-sort-value=""7001298700000000000♠"">29.87","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001133800000000000♠"">13.38"
154,2132,Nordanstig Municipality,Bergsjö,Gävleborg County,"<span data-sort-value=""7003951500000000000♠"">9,515","<span data-sort-value=""7003252598999999999♠"">2,525.99","<span data-sort-value=""7003137064000000000♠"">1,370.64","<span data-sort-value=""7001845200000000000♠"">84.52","<span data-sort-value=""7003107083000000000♠"">1,070.83","<span data-sort-value=""7000694000000000000♠"">6.94"
155,2401,Nordmaling Municipality,Nordmaling,Västerbotten County,"<span data-sort-value=""7003701900000000000♠"">7,019","<span data-sort-value=""7003247226000000000♠"">2,472.26","<span data-sort-value=""7003122942000000000♠"">1,229.42","<span data-sort-value=""7001401700000000000♠"">40.17","<span data-sort-value=""7003120267000000000♠"">1,202.67","<span data-sort-value=""7000571000000000000♠"">5.71"
156,0581,Norrköping Municipality,Norrköping,Östergötland County,"<span data-sort-value=""7005133444000000000♠"">133,444","<span data-sort-value=""7003204758000000000♠"">2,047.58","<span data-sort-value=""7003149505000000000♠"">1,495.05","<span data-sort-value=""7002108650000000000♠"">108.65","<span data-sort-value=""7002443880000000000♠"">443.88","<span data-sort-value=""7001892600000000000♠"">89.26"
157,0188,Norrtälje Municipality,Norrtälje,Stockholm County,"<span data-sort-value=""7004568450000000000♠"">56,845","<span data-sort-value=""7003586967000000000♠"">5,869.67","<span data-sort-value=""7003201604000000000♠"">2,016.04","<span data-sort-value=""7001977300000000000♠"">97.73","<span data-sort-value=""7003375590000000000♠"">3,755.90","<span data-sort-value=""7001282000000000000♠"">28.20"
158,2417,Norsjö Municipality,Norsjö,Västerbotten County,"<span data-sort-value=""7003416800000000000♠"">4,168","<span data-sort-value=""7003192358000000000♠"">1,923.58","<span data-sort-value=""7003173945000000000♠"">1,739.45","<span data-sort-value=""7002184130000000000♠"">184.13","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000240000000000000♠"">2.40"
159,0881,Nybro Municipality,Nybro,Kalmar County,"<span data-sort-value=""7004194660000000000♠"">19,466","<span data-sort-value=""7003120154000000000♠"">1,201.54","<span data-sort-value=""7003117169000000000♠"">1,171.69","<span data-sort-value=""7001298500000000000♠"">29.85","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001166100000000000♠"">16.61"
160,0140,Nykvarn Municipality,Nykvarn,Stockholm County,"<span data-sort-value=""7003950200000000000♠"">9,502","<span data-sort-value=""7002176990000000000♠"">176.99","<span data-sort-value=""7002152760000000000♠"">152.76","<span data-sort-value=""7001162500000000000♠"">16.25","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001622000000000000♠"">62.20"
161,0480,Nyköping Municipality,Nyköping,Södermanland County,"<span data-sort-value=""7004528350000000000♠"">52,835","<span data-sort-value=""7003206641000000000♠"">2,066.41","<span data-sort-value=""7003142084000000000♠"">1,420.84","<span data-sort-value=""7002133419999999999♠"">133.42","<span data-sort-value=""7002512150000000000♠"">512.15","<span data-sort-value=""7001371900000000000♠"">37.19"
162,0192,Nynäshamn Municipality,Nynäshamn,Stockholm County,"<span data-sort-value=""7004266810000000000♠"">26,681","<span data-sort-value=""7003130083000000000♠"">1,300.83","<span data-sort-value=""7002358760000000000♠"">358.76","<span data-sort-value=""7000671000000000000♠"">6.71","<span data-sort-value=""7002935360000000000♠"">935.36","<span data-sort-value=""7001743700000000000♠"">74.37"
163,0682,Nässjö Municipality,Nässjö,Jönköping County,"<span data-sort-value=""7004294700000000000♠"">29,470","<span data-sort-value=""7002988490000000000♠"">988.49","<span data-sort-value=""7002930290000000000♠"">930.29","<span data-sort-value=""7001582000000000000♠"">58.20","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001316800000000000♠"">31.68"
164,2101,Ockelbo Municipality,Ockelbo,Gävleborg County,"<span data-sort-value=""7003582500000000000♠"">5,825","<span data-sort-value=""7003112904000000000♠"">1,129.04","<span data-sort-value=""7003106497000000000♠"">1,064.97","<span data-sort-value=""7001640699999999999♠"">64.07","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000547000000000000♠"">5.47"
165,1060,Olofström Municipality,Olofström,Blekinge County,"<span data-sort-value=""7004129060000000000♠"">12,906","<span data-sort-value=""7002413430000000000♠"">413.43","<span data-sort-value=""7002389790000000000♠"">389.79","<span data-sort-value=""7001236400000000000♠"">23.64","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001331100000000000♠"">33.11"
166,2034,Orsa Municipality,Orsa,Dalarna County,"<span data-sort-value=""7003683700000000000♠"">6,837","<span data-sort-value=""7003179739000000000♠"">1,797.39","<span data-sort-value=""7003173085000000000♠"">1,730.85","<span data-sort-value=""7001665400000000000♠"">66.54","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000395000000000000♠"">3.95"
167,1421,Orust Municipality,Henån,Västra Götaland County,"<span data-sort-value=""7004151080000000000♠"">15,108","<span data-sort-value=""7002882990000000000♠"">882.99","<span data-sort-value=""7002386520000000000♠"">386.52","<span data-sort-value=""7000438999999999999♠"">4.39","<span data-sort-value=""7002492080000000000♠"">492.08","<span data-sort-value=""7001390900000000000♠"">39.09"
168,1273,Osby Municipality,Osby,Skåne County,"<span data-sort-value=""7004126920000000000♠"">12,692","<span data-sort-value=""7002599840000000000♠"">599.84","<span data-sort-value=""7002576240000000000♠"">576.24","<span data-sort-value=""7001236000000000000♠"">23.60","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001220300000000000♠"">22.03"
169,0882,Oskarshamn Municipality,Oskarshamn,Kalmar County,"<span data-sort-value=""7004262580000000000♠"">26,258","<span data-sort-value=""7003228271999999999♠"">2,282.72","<span data-sort-value=""7003104949000000000♠"">1,049.49","<span data-sort-value=""7001482400000000000♠"">48.24","<span data-sort-value=""7003118499000000000♠"">1,184.99","<span data-sort-value=""7001250200000000000♠"">25.02"
170,2121,Ovanåker Municipality,Edsbyn,Gävleborg County,"<span data-sort-value=""7004113920000000000♠"">11,392","<span data-sort-value=""7003201698000000000♠"">2,016.98","<span data-sort-value=""7003187331000000000♠"">1,873.31","<span data-sort-value=""7002143670000000000♠"">143.67","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000608000000000000♠"">6.08"
171,0481,Oxelösund Municipality,Oxelösund,Södermanland County,"<span data-sort-value=""7004113710000000000♠"">11,371","<span data-sort-value=""7002746540000000000♠"">746.54","<span data-sort-value=""7001353900000000000♠"">35.39","<span data-sort-value=""6999150000000000000♠"">0.15","<span data-sort-value=""7002711000000000000♠"">711.00","<span data-sort-value=""7002321310000000000♠"">321.31"
172,2521,Pajala Municipality,Pajala,Norrbotten County,"<span data-sort-value=""7003630000000000000♠"">6,300","<span data-sort-value=""7003805073000000000♠"">8,050.73","<span data-sort-value=""7003784019000000000♠"">7,840.19","<span data-sort-value=""7002210540000000000♠"">210.54","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""6999800000000000000♠"">0.80"
173,1402,Partille Municipality,Partille,Västra Götaland County,"<span data-sort-value=""7004360970000000000♠"">36,097","<span data-sort-value=""7001589800000000000♠"">58.98","<span data-sort-value=""7001568300000000000♠"">56.83","<span data-sort-value=""7000215000000000000♠"">2.15","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002635180000000000♠"">635.18"
174,1275,Perstorp Municipality,Perstorp,Skåne County,"<span data-sort-value=""7003710400000000000♠"">7,104","<span data-sort-value=""7002161920000000000♠"">161.92","<span data-sort-value=""7002158780000000000♠"">158.78","<span data-sort-value=""7000314000000000000♠"">3.14","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001447400000000000♠"">44.74"
175,2581,Piteå Municipality,Piteå,Norrbotten County,"<span data-sort-value=""7004412470000000000♠"">41,247","<span data-sort-value=""7003468052000000000♠"">4,680.52","<span data-sort-value=""7003308695000000000♠"">3,086.95","<span data-sort-value=""7002150420000000000♠"">150.42","<span data-sort-value=""7003144315000000000♠"">1,443.15","<span data-sort-value=""7001133600000000000♠"">13.36"
176,2303,Ragunda Municipality,Hammarstrand,Jämtland County,"<span data-sort-value=""7003545600000000000♠"">5,456","<span data-sort-value=""7003263311000000000♠"">2,633.11","<span data-sort-value=""7003251114000000000♠"">2,511.14","<span data-sort-value=""7002121970000000000♠"">121.97","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000217000000000000♠"">2.17"
177,2409,Robertsfors Municipality,Robertsfors,Västerbotten County,"<span data-sort-value=""7003673400000000000♠"">6,734","<span data-sort-value=""7003236965000000000♠"">2,369.65","<span data-sort-value=""7003129221000000000♠"">1,292.21","<span data-sort-value=""7001210400000000000♠"">21.04","<span data-sort-value=""7003105640000000000♠"">1,056.40","<span data-sort-value=""7000521000000000000♠"">5.21"
178,1081,Ronneby Municipality,Ronneby,Blekinge County,"<span data-sort-value=""7004278740000000000♠"">27,874","<span data-sort-value=""7003124184999999999♠"">1,241.85","<span data-sort-value=""7002825340000000000♠"">825.34","<span data-sort-value=""7001365000000000000♠"">36.50","<span data-sort-value=""7002380010000000000♠"">380.01","<span data-sort-value=""7001337700000000000♠"">33.77"
179,2031,Rättvik Municipality,Rättvik,Dalarna County,"<span data-sort-value=""7004107780000000000♠"">10,778","<span data-sort-value=""7003213779000000000♠"">2,137.79","<span data-sort-value=""7003192066000000000♠"">1,920.66","<span data-sort-value=""7002217130000000000♠"">217.13","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000561000000000000♠"">5.61"
180,1981,Sala Municipality,Sala,Västmanland County,"<span data-sort-value=""7004217660000000000♠"">21,766","<span data-sort-value=""7003120439000000000♠"">1,204.39","<span data-sort-value=""7003116684999999999♠"">1,166.85","<span data-sort-value=""7001375400000000000♠"">37.54","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001186500000000000♠"">18.65"
181,0128,Salem Municipality,Salem,Stockholm County,"<span data-sort-value=""7004160060000000000♠"">16,006","<span data-sort-value=""7001710900000000000♠"">71.09","<span data-sort-value=""7001540900000000000♠"">54.09","<span data-sort-value=""7000729000000000000♠"">7.29","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002295910000000000♠"">295.91"
182,2181,Sandviken Municipality,Sandviken,Gävleborg County,"<span data-sort-value=""7004371790000000000♠"">37,179","<span data-sort-value=""7003129707000000000♠"">1,297.07","<span data-sort-value=""7003116640000000000♠"">1,166.40","<span data-sort-value=""7002130669999999999♠"">130.67","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001318800000000000♠"">31.88"
183,0191,Sigtuna Municipality,Märsta,Stockholm County,"<span data-sort-value=""7004431160000000000♠"">43,116","<span data-sort-value=""7002349740000000000♠"">349.74","<span data-sort-value=""7002327400000000000♠"">327.40","<span data-sort-value=""7000422000000000000♠"">4.22","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002131690000000000♠"">131.69"
184,1291,Simrishamn Municipality,Simrishamn,Skåne County,"<span data-sort-value=""7004189000000000000♠"">18,900","<span data-sort-value=""7003126115000000000♠"">1,261.15","<span data-sort-value=""7002391360000000000♠"">391.36","<span data-sort-value=""7000107000000000000♠"">1.07","<span data-sort-value=""7002868720000000000♠"">868.72","<span data-sort-value=""7001482900000000000♠"">48.29"
185,1265,Sjöbo Municipality,Sjöbo,Skåne County,"<span data-sort-value=""7004184120000000000♠"">18,412","<span data-sort-value=""7002506630000000000♠"">506.63","<span data-sort-value=""7002492170000000000♠"">492.17","<span data-sort-value=""7001144600000000000♠"">14.46","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001374099999999999♠"">37.41"
186,1495,Skara Municipality,Skara,Västra Götaland County,"<span data-sort-value=""7004184720000000000♠"">18,472","<span data-sort-value=""7002448690000000000♠"">448.69","<span data-sort-value=""7002428650000000000♠"">428.65","<span data-sort-value=""7001200400000000000♠"">20.04","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001430900000000000♠"">43.09"
187,2482,Skellefteå Municipality,Skellefteå,Västerbotten County,"<span data-sort-value=""7004719270000000000♠"">71,927","<span data-sort-value=""7003995558000000000♠"">9,955.58","<span data-sort-value=""7003680285000000000♠"">6,802.85","<span data-sort-value=""7002370120000000000♠"">370.12","<span data-sort-value=""7003278261000000000♠"">2,782.61","<span data-sort-value=""7001105700000000000♠"">10.57"
188,1904,Skinnskatteberg Municipality,Skinnskatteberg,Västmanland County,"<span data-sort-value=""7003440600000000000♠"">4,406","<span data-sort-value=""7002718180000000000♠"">718.18","<span data-sort-value=""7002659430000000000♠"">659.43","<span data-sort-value=""7001587500000000000♠"">58.75","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000668000000000000♠"">6.68"
189,1264,Skurup Municipality,Skurup,Skåne County,"<span data-sort-value=""7004149970000000000♠"">14,997","<span data-sort-value=""7002510960000000000♠"">510.96","<span data-sort-value=""7002193580000000000♠"">193.58","<span data-sort-value=""7000159000000000000♠"">1.59","<span data-sort-value=""7002315790000000000♠"">315.79","<span data-sort-value=""7001774700000000000♠"">77.47"
190,1496,Skövde Municipality,Skövde,Västra Götaland County,"<span data-sort-value=""7004526730000000000♠"">52,673","<span data-sort-value=""7002685080000000000♠"">685.08","<span data-sort-value=""7002673680000000000♠"">673.68","<span data-sort-value=""7001114000000000000♠"">11.40","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001781900000000000♠"">78.19"
191,2061,Smedjebacken Municipality,Smedjebacken,Dalarna County,"<span data-sort-value=""7004107270000000000♠"">10,727","<span data-sort-value=""7003105781000000000♠"">1,057.81","<span data-sort-value=""7002947920000000000♠"">947.92","<span data-sort-value=""7002109890000000000♠"">109.89","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001113200000000000♠"">11.32"
192,2283,Sollefteå Municipality,Sollefteå,Västernorrland County,"<span data-sort-value=""7004195760000000000♠"">19,576","<span data-sort-value=""7003576182000000000♠"">5,761.82","<span data-sort-value=""7003539782000000000♠"">5,397.82","<span data-sort-value=""7002364000000000000♠"">364.00","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000363000000000000♠"">3.63"
193,0163,Sollentuna Municipality,Sollentuna,Stockholm County,"<span data-sort-value=""7004678460000000000♠"">67,846","<span data-sort-value=""7001579800000000000♠"">57.98","<span data-sort-value=""7001526400000000000♠"">52.64","<span data-sort-value=""7000321000000000000♠"">3.21","<span data-sort-value=""7000213000000000000♠"">2.13","<span data-sort-value=""7003128886999999999♠"">1,288.87"
194,0184,Solna Municipality,Solna (Skytteholm),Stockholm County,"<span data-sort-value=""7004724950000000000♠"">72,495","<span data-sort-value=""7001216600000000000♠"">21.66","<span data-sort-value=""7001193000000000000♠"">19.30","<span data-sort-value=""7000118000000000000♠"">1.18","<span data-sort-value=""6999650000000000000♠"">0.65","<span data-sort-value=""7003375622000000000♠"">3,756.22"
195,2422,Sorsele Municipality,Sorsele,Västerbotten County,"<span data-sort-value=""7003262000000000000♠"">2,620","<span data-sort-value=""7003795764000000000♠"">7,957.64","<span data-sort-value=""7003736844000000000♠"">7,368.44","<span data-sort-value=""7002589200000000000♠"">589.20","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""6999360000000000000♠"">0.36"
196,1427,Sotenäs Municipality,Kungshamn,Västra Götaland County,"<span data-sort-value=""7003895000000000000♠"">8,950","<span data-sort-value=""7002684370000000000♠"">684.37","<span data-sort-value=""7002138210000000000♠"">138.21","<span data-sort-value=""7000122000000000000♠"">1.22","<span data-sort-value=""7002544940000000000♠"">544.94","<span data-sort-value=""7001647600000000000♠"">64.76"
197,1230,Staffanstorp Municipality,Staffanstorp,Skåne County,"<span data-sort-value=""7004226150000000000♠"">22,615","<span data-sort-value=""7002107280000000000♠"">107.28","<span data-sort-value=""7002106820000000000♠"">106.82","<span data-sort-value=""6999460000000000000♠"">0.46","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002211710000000000♠"">211.71"
198,1415,Stenungsund Municipality,Stenungsund,Västra Götaland County,"<span data-sort-value=""7004249110000000000♠"">24,911","<span data-sort-value=""7002301090000000000♠"">301.09","<span data-sort-value=""7002251910000000000♠"">251.91","<span data-sort-value=""7001140200000000000♠"">14.02","<span data-sort-value=""7001351599999999999♠"">35.16","<span data-sort-value=""7001988900000000000♠"">98.89"
199,0180,Stockholm Municipality,Stockholm (Kungsholmen),Stockholm County,"<span data-sort-value=""7005955397000000000♠"">955,397","<span data-sort-value=""7002214630000000000♠"">214.63","<span data-sort-value=""7002187170000000000♠"">187.17","<span data-sort-value=""7000495000000000000♠"">4.95","<span data-sort-value=""7000679000000000000♠"">6.79","<span data-sort-value=""7003477729000000000♠"">4,777.29"
200,1760,Storfors Municipality,Storfors,Värmland County,"<span data-sort-value=""7003412000000000000♠"">4,120","<span data-sort-value=""7002472710000000000♠"">472.71","<span data-sort-value=""7002391470000000000♠"">391.47","<span data-sort-value=""7001812400000000000♠"">81.24","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001105200000000000♠"">10.52"
201,2421,Storuman Municipality,Storuman,Västerbotten County,"<span data-sort-value=""7003597300000000000♠"">5,973","<span data-sort-value=""7003823410000000000♠"">8,234.10","<span data-sort-value=""7003730353000000000♠"">7,303.53","<span data-sort-value=""7002930570000000000♠"">930.57","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""6999820000000000000♠"">0.82"
202,0486,Strängnäs Municipality,Strängnäs,Södermanland County,"<span data-sort-value=""7004332690000000000♠"">33,269","<span data-sort-value=""7002975080000000000♠"">975.08","<span data-sort-value=""7002739700000000000♠"">739.70","<span data-sort-value=""7001148800000000000♠"">14.88","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001449799999999999♠"">44.98"
203,1486,Strömstad Municipality,Strömstad,Västra Götaland County,"<span data-sort-value=""7004124540000000000♠"">12,454","<span data-sort-value=""7002951830000000000♠"">951.83","<span data-sort-value=""7002467480000000000♠"">467.48","<span data-sort-value=""7001101100000000000♠"">10.11","<span data-sort-value=""7002474240000000000♠"">474.24","<span data-sort-value=""7001266400000000000♠"">26.64"
204,2313,Strömsund Municipality,Strömsund,Jämtland County,"<span data-sort-value=""7004119820000000000♠"">11,982","<span data-sort-value=""7004117805700000000♠"">11,780.57","<span data-sort-value=""7004104650800000000♠"">10,465.08","<span data-sort-value=""7003131549000000000♠"">1,315.49","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000113999999999999♠"">1.14"
205,0183,Sundbyberg Municipality,Sundbyberg,Stockholm County,"<span data-sort-value=""7004422110000000000♠"">42,211","<span data-sort-value=""7000877000000000000♠"">8.77","<span data-sort-value=""7000867000000000000♠"">8.67","<span data-sort-value=""6998700000000000000♠"">0.07","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7003486863000000000♠"">4,868.63"
206,2281,Sundsvall Municipality,Sundsvall,Västernorrland County,"<span data-sort-value=""7004969770000000000♠"">96,977","<span data-sort-value=""7003444454000000000♠"">4,444.54","<span data-sort-value=""7003318961000000000♠"">3,189.61","<span data-sort-value=""7002262610000000000♠"">262.61","<span data-sort-value=""7002992320000000000♠"">992.32","<span data-sort-value=""7001304000000000000♠"">30.40"
207,1766,Sunne Municipality,Sunne,Värmland County,"<span data-sort-value=""7004130460000000000♠"">13,046","<span data-sort-value=""7003144825000000000♠"">1,448.25","<span data-sort-value=""7003128810999999999♠"">1,288.11","<span data-sort-value=""7002160140000000000♠"">160.14","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001101300000000000♠"">10.13"
208,1907,Surahammar Municipality,Surahammar,Västmanland County,"<span data-sort-value=""7003982300000000000♠"">9,823","<span data-sort-value=""7002368850000000000♠"">368.85","<span data-sort-value=""7002343810000000000♠"">343.81","<span data-sort-value=""7001250400000000000♠"">25.04","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001285700000000000♠"">28.57"
209,1214,Svalöv Municipality,Svalöv,Skåne County,"<span data-sort-value=""7004132860000000000♠"">13,286","<span data-sort-value=""7002388620000000000♠"">388.62","<span data-sort-value=""7002387300000000000♠"">387.30","<span data-sort-value=""7000132000000000000♠"">1.32","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001343000000000000♠"">34.30"
210,1263,Svedala Municipality,Svedala,Skåne County,"<span data-sort-value=""7004200800000000000♠"">20,080","<span data-sort-value=""7002227120000000000♠"">227.12","<span data-sort-value=""7002218050000000000♠"">218.05","<span data-sort-value=""7000907000000000000♠"">9.07","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001920900000000000♠"">92.09"
211,1465,Svenljunga Municipality,Svenljunga,Västra Götaland County,"<span data-sort-value=""7004102790000000000♠"">10,279","<span data-sort-value=""7002987150000000000♠"">987.15","<span data-sort-value=""7002919760000000000♠"">919.76","<span data-sort-value=""7001673900000000000♠"">67.39","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001111800000000000♠"">11.18"
212,1785,Säffle Municipality,Säffle,Värmland County,"<span data-sort-value=""7004152880000000000♠"">15,288","<span data-sort-value=""7003249751000000000♠"">2,497.51","<span data-sort-value=""7003125981000000000♠"">1,259.81","<span data-sort-value=""7001974100000000000♠"">97.41","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001121400000000000♠"">12.14"
213,2082,Säter Municipality,Säter,Dalarna County,"<span data-sort-value=""7004109290000000000♠"">10,929","<span data-sort-value=""7002624510000000000♠"">624.51","<span data-sort-value=""7002570330000000000♠"">570.33","<span data-sort-value=""7001541800000000000♠"">54.18","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001191600000000000♠"">19.16"
214,0684,Sävsjö Municipality,Sävsjö,Jönköping County,"<span data-sort-value=""7004109530000000000♠"">10,953","<span data-sort-value=""7002729230000000000♠"">729.23","<span data-sort-value=""7002679050000000000♠"">679.05","<span data-sort-value=""7001501800000000000♠"">50.18","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001161300000000000♠"">16.13"
215,2182,Söderhamn Municipality,Söderhamn,Gävleborg County,"<span data-sort-value=""7004254250000000000♠"">25,425","<span data-sort-value=""7003228132000000000♠"">2,281.32","<span data-sort-value=""7003106077000000000♠"">1,060.77","<span data-sort-value=""7002111040000000000♠"">111.04","<span data-sort-value=""7003110951000000000♠"">1,109.51","<span data-sort-value=""7001239700000000000♠"">23.97"
216,0582,Söderköping Municipality,Söderköping,Östergötland County,"<span data-sort-value=""7004141950000000000♠"">14,195","<span data-sort-value=""7003132518000000000♠"">1,325.18","<span data-sort-value=""7002673850000000000♠"">673.85","<span data-sort-value=""7001144300000000000♠"">14.43","<span data-sort-value=""7002636900000000000♠"">636.90","<span data-sort-value=""7001210700000000000♠"">21.07"
217,0181,Södertälje Municipality,Södertälje,Stockholm County,"<span data-sort-value=""7004906770000000000♠"">90,677","<span data-sort-value=""7002694240000000000♠"">694.24","<span data-sort-value=""7002525150000000000♠"">525.15","<span data-sort-value=""7001326000000000000♠"">32.60","<span data-sort-value=""7001840100000000000♠"">84.01","<span data-sort-value=""7002172670000000000♠"">172.67"
218,1083,Sölvesborg Municipality,Sölvesborg,Blekinge County,"<span data-sort-value=""7004168070000000000♠"">16,807","<span data-sort-value=""7003110640000000000♠"">1,106.40","<span data-sort-value=""7002185310000000000♠"">185.31","<span data-sort-value=""6999570000000000000♠"">0.57","<span data-sort-value=""7002920520000000000♠"">920.52","<span data-sort-value=""7001907000000000000♠"">90.70"
219,1435,Tanum Municipality,Tanumshede,Västra Götaland County,"<span data-sort-value=""7004122870000000000♠"">12,287","<span data-sort-value=""7003235135000000000♠"">2,351.35","<span data-sort-value=""7002917240000000000♠"">917.24","<span data-sort-value=""7001375800000000000♠"">37.58","<span data-sort-value=""7003139653000000000♠"">1,396.53","<span data-sort-value=""7001134000000000000♠"">13.40"
220,1472,Tibro Municipality,Tibro,Västra Götaland County,"<span data-sort-value=""7004107250000000000♠"">10,725","<span data-sort-value=""7002236020000000000♠"">236.02","<span data-sort-value=""7002220650000000000♠"">220.65","<span data-sort-value=""7001153700000000000♠"">15.37","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001486100000000000♠"">48.61"
221,1498,Tidaholm Municipality,Tidaholm,Västra Götaland County,"<span data-sort-value=""7004125780000000000♠"">12,578","<span data-sort-value=""7002522950000000000♠"">522.95","<span data-sort-value=""7002518059999999999♠"">518.06","<span data-sort-value=""7000488999999999999♠"">4.89","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001242800000000000♠"">24.28"
222,0360,Tierp Municipality,Tierp,Uppsala County,"<span data-sort-value=""7004201720000000000♠"">20,172","<span data-sort-value=""7003257382000000000♠"">2,573.82","<span data-sort-value=""7003154778000000000♠"">1,547.78","<span data-sort-value=""7001568900000000000♠"">56.89","<span data-sort-value=""7002969150000000000♠"">969.15","<span data-sort-value=""7001130300000000000♠"">13.03"
223,2262,Timrå Municipality,Timrå,Västernorrland County,"<span data-sort-value=""7004180670000000000♠"">18,067","<span data-sort-value=""7003123417000000000♠"">1,234.17","<span data-sort-value=""7002783300000000000♠"">783.30","<span data-sort-value=""7001392700000000000♠"">39.27","<span data-sort-value=""7002411600000000000♠"">411.60","<span data-sort-value=""7001230700000000000♠"">23.07"
224,0763,Tingsryd Municipality,Tingsryd,Kronoberg County,"<span data-sort-value=""7004121460000000000♠"">12,146","<span data-sort-value=""7003120724000000000♠"">1,207.24","<span data-sort-value=""7003104488000000000♠"">1,044.88","<span data-sort-value=""7002162360000000000♠"">162.36","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001116199999999999♠"">11.62"
225,1419,Tjörn Municipality,Skärhamn,Västra Götaland County,"<span data-sort-value=""7004150470000000000♠"">15,047","<span data-sort-value=""7002845940000000000♠"">845.94","<span data-sort-value=""7002167360000000000♠"">167.36","<span data-sort-value=""6999800000000000000♠"">0.80","<span data-sort-value=""7002677780000000000♠"">677.78","<span data-sort-value=""7001899100000000000♠"">89.91"
226,1270,Tomelilla Municipality,Tomelilla,Skåne County,"<span data-sort-value=""7004129000000000000♠"">12,900","<span data-sort-value=""7002397390000000000♠"">397.39","<span data-sort-value=""7002395940000000000♠"">395.94","<span data-sort-value=""7000145000000000000♠"">1.45","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001325800000000000♠"">32.58"
227,1737,Torsby Municipality,Torsby,Värmland County,"<span data-sort-value=""7004120370000000000♠"">12,037","<span data-sort-value=""7003435743999999999♠"">4,357.44","<span data-sort-value=""7003416218999999999♠"">4,162.19","<span data-sort-value=""7002195250000000000♠"">195.25","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000289000000000000♠"">2.89"
